month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,5호선,서대문,481766,73199,554965
201803,2018,5호선,신정(은행정),398543,63891,462434
201803,2018,5호선,아차산(어린이대공원후문),393844,101187,495031
201803,2018,5호선,애오개,192133,41165,233298
201803,2018,5호선,양평,172581,30270,202851
201803,2018,5호선,여의나루,325339,28867,354206
201803,2018,5호선,여의도,650390,55005,705395
201803,2018,5호선,영등포구청,90672,20811,111483
201803,2018,5호선,영등포시장,220415,83277,303692
201803,2018,5호선,오금,98235,18957,117192
201803,2018,5호선,오목교(목동운동장앞),703583,89975,793558
201803,2018,5호선,올림픽공원(한국체대),164294,36851,201145
201803,2018,5호선,왕십리(성동구청),133911,27459,161370
201803,2018,5호선,우장산,420558,86709,507267
201803,2018,5호선,을지로4가,111817,44463,156280
201803,2018,5호선,장한평,491299,101918,593217
201803,2018,5호선,종로3가,364615,129133,493748
201803,2018,5호선,천호(풍납토성),508795,155025,663820
201803,2018,5호선,청구,105342,28873,134215
201803,2018,5호선,충정로(경기대입구),131080,17362,148442
201803,2018,5호선,행당,222066,51565,273631
201803,2018,5호선,개롱,169932,47625,217557
201803,2018,6호선,고려대(종암),284567,37985,322552
201803,2018,6호선,효창공원앞,198205,44786,242991
201803,2018,6호선,독바위,70806,21960,92766
201803,2018,6호선,돌곶이,229121,63730,292851
201803,2018,6호선,동묘앞,231663,73541,305204
201803,2018,6호선,디지털미디어시티,372568,58670,431238
201803,2018,6호선,마포구청,361655,85347,447002
201803,2018,6호선,망원,360194,88841,449035
201803,2018,6호선,광흥창(서강),239621,62898,302519
201803,2018,6호선,구산,202457,58617,261074
201803,2018,6호선,녹사평(용산구청),209740,21868,231608
201803,2018,6호선,대흥(서강대앞),240802,50290,291092
201803,2018,6호선,석계,351403,79262,430665
201803,2018,6호선,버티고개,65139,15950,81089
201803,2018,6호선,보문,214604,36111,250715
201803,2018,6호선,봉화산(서울의료원),251478,55350,306828
201803,2018,6호선,불광,132660,43501,176161
201803,2018,6호선,삼각지,212006,19686,231692
201803,2018,6호선,상수,333131,24124,357255
201803,2018,6호선,상월곡(한국과학기술연구원),164965,43114,208079
201803,2018,6호선,새절(신사),359969,91040,451009
201803,2018,6호선,신당,246230,42533,288763
201803,2018,중앙선,원덕,7152,5817,12969
201803,2018,6호선,안암(고대병원앞),471463,35686,507149
201803,2018,6호선,약수,93348,25138,118486
201803,2018,6호선,역촌,87235,37160,124395
201803,2018,6호선,연신내,18,0,18
201803,2018,6호선,월곡(동덕여대),359142,79353,438495
201803,2018,6호선,월드컵경기장(성산),125900,52225,178125
201803,2018,6호선,응암,459952,120128,580080
201803,2018,6호선,이태원,541037,37998,579035
201803,2018,6호선,증산(명지대앞),266483,74157,340640
201803,2018,6호선,창신,102433,18097,120530
201803,2018,6호선,청구,100273,20265,120538
201803,2018,6호선,태릉입구,149524,29447,178971
201803,2018,6호선,한강진,224242,16009,240251
201803,2018,6호선,합정,464383,43602,507985
201803,2018,6호선,화랑대(서울여대입구),384325,49198,433523
201803,2018,6호선,공덕,498985,77449,576434
201803,2018,7호선,가산디지털단지,1145064,83776,1228840
201803,2018,7호선,학동,598909,64047,662956
201803,2018,7호선,건대입구,482349,57958,540307
201803,2018,7호선,고속터미널,575043,83873,658916
201803,2018,7호선,도봉산,260421,41586,302007
201803,2018,7호선,뚝섬유원지,243058,41315,284373
201803,2018,7호선,마들,305706,81493,387199
201803,2018,7호선,먹골,278988,64392,343380
201803,2018,7호선,면목,450082,89750,539832
201803,2018,7호선,공릉(서울과학기술대),366189,71319,437508
201803,2018,7호선,광명사거리,702912,155055,857967
201803,2018,7호선,군자(능동),382542,81631,464173
201803,2018,7호선,굴포천,258206,36689,294895
201803,2018,7호선,까치울,203949,25764,229713
201803,2018,7호선,남구로,447516,62252,509768
201803,2018,7호선,남성,301422,74564,375986
201803,2018,7호선,내방,387379,68949,456328
201803,2018,7호선,노원,546034,122872,668906
201803,2018,7호선,논현,547397,55583,602980
201803,2018,7호선,대림(구로구청),295491,37243,332734
201803,2018,7호선,수락산,354457,95694,450151
201803,2018,7호선,숭실대입구(살피재),486954,63904,550858
201803,2018,7호선,반포,173393,35314,208707
201803,2018,7호선,보라매,249014,44959,293973
201803,2018,7호선,부천시청,348816,50297,399113
201803,2018,7호선,부천종합운동장,146037,18858,164895
201803,2018,7호선,부평구청,343397,32212,375609
201803,2018,7호선,사가정,415672,98349,514021
201803,2018,7호선,삼산체육관,140496,25209,165705
201803,2018,7호선,상도,322301,63135,385436
201803,2018,7호선,상동,413307,50935,464242
201803,2018,7호선,상봉(시외버스터미널),487494,75024,562518
201803,2018,7호선,신대방삼거리,432607,97259,529866
201803,2018,7호선,신중동,404047,51985,456032
201803,2018,7호선,신풍,301976,72961,374937
201803,2018,7호선,어린이대공원(세종대),510956,46712,557668
201803,2018,7호선,온수(성공회대입구),318550,37111,355661
201803,2018,7호선,용마산,168620,37019,205639
201803,2018,7호선,이수,451741,83925,535666
201803,2018,7호선,장승배기,272098,82476,354574
201803,2018,7호선,장암,68201,7891,76092
201803,2018,7호선,중계,404220,98610,502830
201803,2018,7호선,중곡,267650,64753,332403
201803,2018,7호선,중화,303689,64362,368051
201803,2018,7호선,천왕,230740,49187,279927
201803,2018,7호선,철산,667196,102495,769691
201803,2018,7호선,청담,550349,78590,628939
201803,2018,7호선,춘의,248880,30184,279064
201803,2018,7호선,태릉입구,263859,41881,305740
201803,2018,7호선,하계,539478,115660,655138
201803,2018,7호선,강남구청,414704,50724,465428
201803,2018,8호선,가락시장,174293,56587,230880
201803,2018,8호선,천호(풍납토성),505185,99944,605129
201803,2018,8호선,남한산성입구(성남법원.검찰청),401540,79778,481318
201803,2018,8호선,단대오거리,305447,69748,375195
201803,2018,8호선,석촌,219853,64459,284312
201803,2018,8호선,송파,141639,38398,180037
201803,2018,8호선,수진,128482,48347,176829
201803,2018,8호선,모란,100538,59455,159993
201803,2018,8호선,몽촌토성(평화의문),171672,45504,217176
201803,2018,8호선,문정,450062,51030,501092
201803,2018,8호선,복정,335028,51186,386214
201803,2018,8호선,산성,151160,35125,186285
201803,2018,8호선,신흥,108001,44826,152827
201803,2018,8호선,암사,488324,98313,586637
201803,2018,8호선,잠실(송파구청),380855,68195,449050
201803,2018,8호선,장지,509265,74321,583586
201803,2018,8호선,강동구청,280238,68384,348622
201803,2018,9호선,가양,529079,128842,657921
201803,2018,9호선,개화,177139,36592,213731
201803,2018,9호선,고속터미널,359801,51992,411793
201803,2018,9호선,동작(현충원),44375,13019,57394
201803,2018,9호선,등촌,249927,83518,333445
201803,2018,9호선,마곡나루,211720,15281,227001
201803,2018,9호선,공항시장,68018,22284,90302
201803,2018,9호선,구반포,73813,24535,98348
201803,2018,9호선,국회의사당,430863,54209,485072
201803,2018,9호선,김포공항,274727,20924,295651
201803,2018,9호선,노들,114596,31911,146507
201803,2018,9호선,노량진,791232,89874,881106
201803,2018,9호선,당산,504894,66516,571410
201803,2018,9호선,선유도,185289,26687,211976
201803,2018,9호선,사평,68362,14655,83017
201803,2018,9호선,샛강,130592,27578,158170
201803,2018,9호선,신논현,872366,54607,926973
201803,2018,9호선,신목동,107186,19278,126464
201803,2018,9호선,신반포,86271,25281,111552
201803,2018,9호선,신방화,212105,46461,258566
201803,2018,9호선,양천향교,220371,40585,260956
201803,2018,9호선,여의도,544743,43541,588284
201803,2018,9호선,염창,448785,65018,513803
